KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df,name,method
KO_11,195.99814577098303,3.851109648256393,0.807890157712644,4.766872837218277,2.305488443160225e-6,6.147969181760601e-5,Yes,657,studyServergnini_2021,LinDA
KO_68,250.55454224193002,3.2970391955858114,0.7047697484864269,4.67817922472776,3.5154566511794825e-6,7.030913302358966e-5,Yes,657,studyServergnini_2021,LinDA
KO_48,9.491566745756002,3.4306991982850086,0.7864903594693035,4.362035919423,1.4958680365896483e-5,2.3933888585434373e-4,Yes,657,studyServergnini_2021,LinDA
KO_56,0.7607843546504753,3.077499833493127,0.7668238133019535,4.013307594402125,6.676830988777834e-5,8.902441318370446e-4,Yes,657,studyServergnini_2021,LinDA
KO_38,0.5452874241885606,1.8151880635498117,0.49078822427319424,3.6985159255561078,2.3499493771526365e-4,0.002685656431031585,Yes,657,studyServergnini_2021,LinDA
KO_72,6.665609617505737,-2.151681765470802,0.6477514901894298,-3.3217704599051707,9.440459882512572e-4,0.009440459882512572,Yes,657,studyServergnini_2021,LinDA
KO_14,1842.0509019490735,1.1008252021006553,0.3536572800785955,3.112689216678961,0.0019343848018573576,0.016503325375135585,Yes,657,studyServergnini_2021,LinDA
KO_59,0.2448318688466739,1.9741596035947309,0.6381909207130932,3.093368362854286,0.002062915671891948,0.016503325375135585,Yes,657,studyServergnini_2021,LinDA
KO_8,170.87801744043858,3.0362550643373756,1.0858818682610667,2.7961191296062804,0.005323225572427945,0.037301103975741025,Yes,657,studyServergnini_2021,LinDA
KO_37,103.71093027407389,2.6580300757434205,0.9562003021020886,2.7797837648660733,0.005595165596361153,0.037301103975741025,Yes,657,studyServergnini_2021,LinDA
KO_53,105.88744573645776,2.267877787558563,0.9533400755053368,2.3788759602458014,0.017650251270768042,0.10861693089703411,No,657,studyServergnini_2021,LinDA
KO_33,0.24483186884666672,2.2065534709316066,0.9719820653000898,2.270158627104251,0.02352101774797128,0.12544542798918015,No,657,studyServergnini_2021,LinDA
KO_40,21573.448412265912,-0.574708812181295,0.2523214044422742,-2.2776855314816395,0.02306573571252605,0.12544542798918015,No,657,studyServergnini_2021,LinDA
KO_44,3471.4944385147624,0.7834294017912478,0.3858655494703078,2.030317044023989,0.04272664480202828,0.2136332240101414,No,657,studyServergnini_2021,LinDA
KO_54,9.646803879260563,2.181856305197775,1.3055192323909977,1.671255582502455,0.09514740956227062,0.4477525155871559,No,657,studyServergnini_2021,LinDA
KO_4,158.44366494642694,-1.0352082757353331,0.752540862312878,-1.375617361898061,0.1694089231108999,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_15,2.6361170955955324,1.473703598340872,1.0115591405777982,1.4568635082463877,0.14563180951228766,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_32,35388.513910231995,-0.29529584940762676,0.21367528852700796,-1.3819840911098253,0.16744626900020304,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_45,8413.548772070719,-0.23939659084052423,0.16928989731275354,-1.4141221339289523,0.1577997317140815,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_71,3555.424395989133,-0.32840745830846496,0.22879617040644906,-1.4353713076799304,0.1516572048948478,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_74,5.518321018671957,-1.5000033866220805,1.0179047200935616,-1.4736186570430743,0.14106323913333238,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_75,0.24483186884667996,0.5531768276686264,0.37163989402182185,1.488475367060957,0.13710538962332075,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_77,5838.033106311961,0.6188480393056307,0.4272222033418445,1.448539037683057,0.1479434278128024,0.5421085539548797,No,657,studyServergnini_2021,LinDA
KO_22,0.24483186884667033,0.9506625871229653,0.7148460132460618,1.3298844359585615,0.1840178505445497,0.5662087709063068,No,657,studyServergnini_2021,LinDA
