KO,rab.all,rab.win.0,rab.win.1,diff.btw,diff.win,effect,overlap,name,method
KO_1,5.434517410237019,5.566994082890368,4.6970559962667835,-0.7649583335554633,1.6734368678013203,-0.4210789297750198,0.324935013662218,health_statusHIV,ALDEx2
KO_2,-5.673441544602843,-6.050574188629956,-1.7407543182333232,2.893211020228798,6.329457202147742,0.4355722241880369,0.31693661338185447,health_statusHIV,ALDEx2
KO_3,-9.573986018528483,-9.297570450181988,-11.295078536929111,-2.0342892193270483,4.843680412561177,-0.35981278110602133,0.3251349736692449,health_statusHIV,ALDEx2
KO_4,-0.17086732455231246,-0.5834732362228934,0.6351785376323953,1.5246818597062815,4.451743906877272,0.3191542613703916,0.34440000057428355,health_statusHIV,ALDEx2
KO_5,5.800256461369478,5.921937670291083,4.923876875645584,-0.8087804254993571,1.8346444564644964,-0.41050510959426256,0.3237352536200722,health_statusHIV,ALDEx2
KO_6,4.903345796804924,5.039079549487048,3.889289574092763,-1.01328202661567,1.9121137229308496,-0.48791579641430666,0.29680000081133423,health_statusHIV,ALDEx2
KO_7,6.094303407026343,6.217212202112343,4.938183276777595,-1.0252857902763406,2.113724515696726,-0.4492051755781614,0.3107378531656026,health_statusHIV,ALDEx2
KO_8,3.4513062523570848,3.425288730074049,3.5696446154858075,0.4482929280903267,3.715658397004202,0.07057049579007381,0.4218000002672034,health_statusHIV,ALDEx2
KO_9,-6.905167301183339,-7.41313445611467,-0.9632705638193864,5.01373233111911,7.586823586492118,0.5964014956525299,0.2762000009329034,health_statusHIV,ALDEx2
KO_10,-1.2200953594357857,-0.9086485248137359,-2.8063043489474007,-2.273271463362005,4.117028274232694,-0.5051874718261031,0.25240000109347965,health_statusHIV,ALDEx2
KO_11,2.4870972722137052,2.5458522011237097,2.2444531354379107,-0.1592494188075242,2.3626390537690893,-0.030831704584257102,0.468506298845607,health_statusHIV,ALDEx2
KO_12,-9.7386419524016965,-9.50777371075652,-11.178407012914715,-1.6600036738647628,4.963858528364994,-0.30042009558710775,0.35812837483924187,health_statusHIV,ALDEx2
KO_13,-9.184072129901,-9.215030514766923,-8.9242841883405,0.257847069410583,5.374268547580462,0.04042631053218318,0.4805038992852156,health_statusHIV,ALDEx2
KO_14,2.8133733074907687,2.974622069056775,1.0107376433207298,-1.5910133683397607,3.0156199020680057,-0.4853720448919081,0.2974000008079956,health_statusHIV,ALDEx2
KO_15,-0.6869457225627933,-5.375085954670476,1.3087473706364428,5.283982124583918,7.537443237631437,0.6375671623160166,0.23555289064545765,health_statusHIV,ALDEx2
KO_16,6.2623751579486715,6.3901070044948884,5.395505920584847,-0.840767726152043,1.8752491033790188,-0.4251404540382798,0.3234000006725701,health_statusHIV,ALDEx2
KO_17,6.018126812804676,6.140364246290973,5.170063392409718,-0.7973993032440085,1.8652491194519913,-0.40226360421988117,0.33193361390867254,health_statusHIV,ALDEx2
KO_18,6.716744127186118,6.837137987714684,5.884944083414947,-0.7582239425325787,1.8444787554881232,-0.39790769687112637,0.3308000006369387,health_statusHIV,ALDEx2
KO_19,4.234019532792987,4.373764420351493,3.2413564702257993,-0.9527813703878016,1.946982636983757,-0.4690644430240044,0.3109378131725639,health_statusHIV,ALDEx2
KO_20,-9.047980896288804,-9.133226653915958,-7.983722035979055,2.0006404610678263,7.571108480459835,0.25223409306018735,0.40391921648918494,health_statusHIV,ALDEx2
KO_21,5.243120041837887,5.39662112983086,4.469682407423386,-0.8292043584022517,1.5981381244166135,-0.4329450483557942,0.29514097262593103,health_statusHIV,ALDEx2
KO_22,-8.693303382957943,-8.806843929804835,1.2926858687042282,3.491182177525256,11.399660166068305,0.41551399317052873,0.3653269350969085,health_statusHIV,ALDEx2
KO_23,1.0472656502808375,1.132990995031089,0.6349195794268763,-0.660900570222898,3.851054180577133,-0.15231933553905153,0.40640000032333085,health_statusHIV,ALDEx2
KO_24,-8.732290950914674,-8.64917491108968,-9.375482369619196,-0.5284147183805707,5.416462748988309,-0.08532747828077968,0.4594000001362315,health_statusHIV,ALDEx2
KO_25,7.444719667456934,7.544550312402928,6.70746818564735,-0.6915603572491804,1.7104559632245784,-0.379751573247582,0.3352000006162841,health_statusHIV,ALDEx2
KO_26,5.793365411667292,5.943176556971892,4.954933693694745,-0.8507539899870022,1.7200417940931527,-0.46302829287443986,0.3067386530265966,health_statusHIV,ALDEx2
KO_27,-8.95793878638679,-8.594856658989018,-11.152902806316781,-2.760335979605151,6.374383016058063,-0.4094408844507256,0.2915416925023838,health_statusHIV,ALDEx2
KO_28,-7.396818817686672,-8.021888793541683,3.6353537284477313,11.255339732858467,8.029172361541876,1.0736373419331853,0.16756648868789967,health_statusHIV,ALDEx2
KO_29,5.330418698108583,5.474940953060594,4.193161923841587,-1.0869322691725647,2.204683393913927,-0.45704530790882464,0.3112000007339863,health_statusHIV,ALDEx2
KO_30,3.3446874670219784,3.5446035195588665,2.5277422877999127,-1.0741440489965592,1.7886844342343564,-0.4873987936175421,0.2424000011689394,health_statusHIV,ALDEx2
KO_31,-8.82531835890055,-8.560240415510183,-10.601632168905558,-1.9953947136901977,8.683708417722688,-0.2280453793301177,0.36120000050129736,health_statusHIV,ALDEx2
KO_32,5.901704802741499,5.983676318334235,5.408419453058782,-0.4968908528585203,1.7240724473052502,-0.2691574402963579,0.38092381565757044,health_statusHIV,ALDEx2
KO_33,-7.301142963071267,-7.342999910176982,-6.11301707780887,0.20878157207126335,9.64293213916107,0.021485619540711362,0.48890221959308483,health_statusHIV,ALDEx2
